UserID,InstallationDate,InstallationTime,ChangeOutMeterNo,ChangeOutMeterkWh,InstalledMeterNo,InstalledEndpointSN,InstalledMeterkWh,ServiceLatitude,ServiceLongitude,ServiceLocation,ServiceTimeZone,TenantGroup
rompkoh,09/23/22,10:10,00AA00FD,,00AA00FD,11141373,,,,,,
rompkoh,09/23/22,10:10,00AA0206,,00AA0206,11141638,,,,,,
rompkoh,09/23/22,10:10,00AA01A9,,00AA01A9,11141545,,,,,,
rompkoh,09/23/22,10:10,00AA08B6,,00AA08B6,11143350,,,,,,
rompkoh,09/23/22,10:10,00AA014D,,00AA014D,11141453,,,,,,
rompkoh,09/23/22,10:10,00AA011F,,00AA011F,11141407,,,,,,
rompkoh,09/23/22,10:10,00AA0121,,00AA0121,11141409,,,,,,
rompkoh,09/23/22,10:10,400A2A46,,400A2A46,1074408006,,,,,,
rompkoh,09/23/22,10:10,400A2A4A,,400A2A4A,1074408010,,,,,,
rompkoh,09/23/22,10:10,400A2A1E,,400A2A1E,1074407966,,,,,,
rompkoh,09/23/22,10:10,400A2A2C,,400A2A2C,1074407980,,,,,,
rompkoh,09/23/22,10:10,400A2A22,,400A2A22,1074407970,,,,,,
rompkoh,09/23/22,10:10,400A2A12,,400A2A12,1074407954,,,,,,
rompkoh,09/23/22,10:10,400A2A1A,,400A2A1A,1074407962,,,,,,
rompkoh,09/23/22,10:10,400A2A54,,400A2A54,1074408020,,,,,,
rompkoh,09/23/22,10:10,00AA015B,,00AA015B,11141467,,,,,,
rompkoh,09/23/22,10:10,00AA00E5,,00AA00E5,11141349,,,,,,
rompkoh,09/23/22,10:10,00AA024A,,00AA024A,11141706,,,,,,
rompkoh,09/23/22,10:10,400A2A3A,,400A2A3A,1074407994,,,,,,
rompkoh,09/23/22,10:10,00AA00EB,,00AA00EB,11141355,,,,,,
rompkoh,09/23/22,10:10,00AA01E1,,00AA01E1,11141601,,,,,,
rompkoh,09/23/22,10:10,00AA01E3,,00AA01E3,11141603,,,,,,
rompkoh,09/23/22,10:10,00AA01E5,,00AA01E5,11141605,,,,,,
rompkoh,09/23/22,10:10,00AA01F1,,00AA01F1,11141617,,,,,,
rompkoh,09/23/22,10:10,00AA01F3,,00AA01F3,11141619,,,,,,
rompkoh,09/23/22,10:10,400A29E4,,400A29E4,1074407908,,,,,,
rompkoh,09/23/22,10:10,400A29E2,,400A29E2,1074407906,,,,,,
rompkoh,09/23/22,10:10,400A29EA,,400A29EA,1074407914,,,,,,
rompkoh,09/23/22,10:10,400A29DE,,400A29DE,1074407902,,,,,,
rompkoh,09/23/22,10:10,400A29D8,,400A29D8,1074407896,,,,,,
rompkoh,09/23/22,10:10,00AA08AC,,00AA08AC,11143340,,,,,,
rompkoh,09/23/22,10:10,00AA012B,,00AA012B,11141419,,,,,,
rompkoh,09/23/22,10:10,00AA0139,,00AA0139,11141433,,,,,,
rompkoh,09/23/22,10:10,00AA01FC,,00AA01FC,11141628,,,,,,
rompkoh,09/23/22,10:10,400A2A2E,,400A2A2E,1074407982,,,,,,
rompkoh,09/23/22,10:10,400A2A36,,400A2A36,1074407990,,,,,,
rompkoh,09/23/22,10:10,400A2A38,,400A2A38,1074407992,,,,,,
rompkoh,09/23/22,10:10,00AA00E7,,00AA00E7,11141351,,,,,,
rompkoh,09/23/22,10:10,00AA0105,,00AA0105,11141381,,,,,,
rompkoh,09/23/22,10:10,00AA0160,,00AA0160,11141472,,,,,,
rompkoh,09/23/22,10:10,00AA01A7,,00AA01A7,11141543,,,,,,
rompkoh,09/23/22,10:10,00AA0119,,00AA0119,11141401,,,,,,
rompkoh,09/23/22,10:10,00AA011D,,00AA011D,11141405,,,,,,
rompkoh,09/23/22,10:10,00AA01A0,,00AA01A0,11141536,,,,,,
rompkoh,09/23/22,10:10,00AA01A2,,00AA01A2,11141538,,,,,,
rompkoh,09/23/22,10:10,00AA01C6,,00AA01C6,11141574,,,,,,
